AVG_PURCHASE_VALUE_EUR,PURCHASE_COUNT,CLUSTER
0.0,0.0,3
38.456,1.0,0
33.396,19.0,1
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
19.228,1.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
31.372,19.0,1
59.708,2.0,2
0.0,0.0,3
53.636,2.0,2
40.48,7.0,0
57.684,2.0,2
0.0,0.0,3
0.0,0.0,3
8.096,3.0,3
27.324,4.0,0
25.3,1.0,0
0.0,0.0,3
14.168,1.0,3
0.0,0.0,3
24.288,6.0,0
27.324,3.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
23.276,33.0,1
0.0,0.0,3
19.228,3.0,0
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
64.768,1.0,2
0.0,0.0,3
15.18,3.0,0
0.0,0.0,3
38.456,1.0,0
6.072,2.0,3
0.0,0.0,3
37.444,3.0,0
55.66,1.0,2
0.0,0.0,3
0.0,0.0,3
26.312,1.0,0
0.0,0.0,3
9.108,1.0,3
0.0,0.0,3
0.0,0.0,3
32.384,2.0,0
6.072,1.0,3
0.0,0.0,3
19.228,2.0,0
8.096,4.0,3
30.36,3.0,0
7.084,1.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
8.096,1.0,3
34.408,8.0,0
17.204,1.0,0
0.0,0.0,3
0.0,0.0,3
20.24,16.0,1
27.324,1.0,0
21.252,13.0,1
0.0,0.0,3
0.0,0.0,3
41.492,1.0,2
27.324,1.0,0
0.0,0.0,3
17.204,6.0,0
25.3,3.0,0
13.156,1.0,3
7.084,2.0,3
0.0,0.0,3
21.252,1.0,0
0.0,0.0,3
25.3,1.0,0
0.0,0.0,3
21.252,1.0,0
26.312,1.0,0
27.324,5.0,0
0.0,0.0,3
27.324,5.0,0
0.0,0.0,3
33.396,2.0,0
48.576,8.0,2
0.0,0.0,3
0.0,0.0,3
35.42,1.0,0
49.588,1.0,2
0.0,0.0,3
48.576,1.0,2
0.0,0.0,3
24.288,11.0,0
45.54,2.0,2
27.324,14.0,1
0.0,0.0,3
26.312,17.0,1
12.144,6.0,0
0.0,0.0,3
34.408,1.0,0
0.0,0.0,3
